Gene stable ID,Gene stable ID version,Chromosome/scaffold name,Gene type
ENSMUSG00000095693,ENSMUSG00000095693.1,Y,protein_coding
ENSMUSG00000101611,ENSMUSG00000101611.1,Y,unprocessed_pseudogene
ENSMUSG00000101769,ENSMUSG00000101769.1,Y,processed_pseudogene
ENSMUSG00000100792,ENSMUSG00000100792.1,Y,unprocessed_pseudogene
ENSMUSG00000099766,ENSMUSG00000099766.1,Y,processed_pseudogene
ENSMUSG00000099726,ENSMUSG00000099726.1,Y,unprocessed_pseudogene
ENSMUSG00000101576,ENSMUSG00000101576.1,Y,unprocessed_pseudogene
ENSMUSG00000102115,ENSMUSG00000102115.1,Y,unprocessed_pseudogene
ENSMUSG00000102102,ENSMUSG00000102102.1,Y,processed_pseudogene
ENSMUSG00000098514,ENSMUSG00000098514.1,Y,miRNA
ENSMUSG00000099761,ENSMUSG00000099761.1,Y,lincRNA
ENSMUSG00000096706,ENSMUSG00000096706.2,Y,protein_coding
ENSMUSG00000101805,ENSMUSG00000101805.1,Y,processed_pseudogene
ENSMUSG00000101380,ENSMUSG00000101380.1,Y,unprocessed_pseudogene
ENSMUSG00000096268,ENSMUSG00000096268.2,Y,protein_coding
ENSMUSG00000100634,ENSMUSG00000100634.1,Y,protein_coding
ENSMUSG00000100056,ENSMUSG00000100056.1,Y,lincRNA
ENSMUSG00000102338,ENSMUSG00000102338.1,Y,TEC
ENSMUSG00000101291,ENSMUSG00000101291.1,Y,lincRNA
ENSMUSG00000096036,ENSMUSG00000096036.2,Y,protein_coding
ENSMUSG00000102042,ENSMUSG00000102042.1,Y,processed_pseudogene
ENSMUSG00000100878,ENSMUSG00000100878.1,Y,unprocessed_pseudogene
ENSMUSG00000099721,ENSMUSG00000099721.1,Y,unprocessed_pseudogene
ENSMUSG00000101619,ENSMUSG00000101619.1,Y,unprocessed_pseudogene
ENSMUSG00000100710,ENSMUSG00000100710.1,Y,unprocessed_pseudogene
ENSMUSG00000100292,ENSMUSG00000100292.1,Y,lincRNA
ENSMUSG00000101081,ENSMUSG00000101081.1,Y,lincRNA
ENSMUSG00000099815,ENSMUSG00000099815.1,Y,lincRNA
ENSMUSG00000118404,ENSMUSG00000118404.1,Y,unprocessed_pseudogene
ENSMUSG00000101525,ENSMUSG00000101525.1,Y,lincRNA
ENSMUSG00000095148,ENSMUSG00000095148.2,Y,protein_coding
ENSMUSG00000101707,ENSMUSG00000101707.1,Y,unprocessed_pseudogene
ENSMUSG00000100275,ENSMUSG00000100275.1,Y,unprocessed_pseudogene
ENSMUSG00000100472,ENSMUSG00000100472.1,Y,unprocessed_pseudogene
ENSMUSG00000100289,ENSMUSG00000100289.1,Y,unprocessed_pseudogene
ENSMUSG00000101243,ENSMUSG00000101243.1,Y,protein_coding
ENSMUSG00000079806,ENSMUSG00000079806.2,Y,protein_coding
ENSMUSG00000100479,ENSMUSG00000100479.1,Y,processed_pseudogene
ENSMUSG00000099352,ENSMUSG00000099352.1,Y,unprocessed_pseudogene
ENSMUSG00000101388,ENSMUSG00000101388.1,Y,lincRNA
ENSMUSG00000101055,ENSMUSG00000101055.1,Y,unprocessed_pseudogene
ENSMUSG00000096686,ENSMUSG00000096686.2,Y,protein_coding
ENSMUSG00000099505,ENSMUSG00000099505.1,Y,lincRNA
ENSMUSG00000100161,ENSMUSG00000100161.1,Y,lincRNA
ENSMUSG00000102039,ENSMUSG00000102039.1,Y,unprocessed_pseudogene
ENSMUSG00000101913,ENSMUSG00000101913.1,Y,lincRNA
ENSMUSG00000094484,ENSMUSG00000094484.2,Y,protein_coding
ENSMUSG00000101479,ENSMUSG00000101479.1,Y,processed_pseudogene
ENSMUSG00000100939,ENSMUSG00000100939.1,Y,protein_coding
ENSMUSG00000100262,ENSMUSG00000100262.1,Y,lincRNA
ENSMUSG00000100453,ENSMUSG00000100453.1,Y,unprocessed_pseudogene
ENSMUSG00000100858,ENSMUSG00000100858.1,Y,processed_pseudogene
ENSMUSG00000099965,ENSMUSG00000099965.1,Y,unprocessed_pseudogene
ENSMUSG00000100948,ENSMUSG00000100948.1,Y,lincRNA
ENSMUSG00000118447,ENSMUSG00000118447.1,Y,unprocessed_pseudogene
ENSMUSG00000100961,ENSMUSG00000100961.1,Y,lincRNA
ENSMUSG00000100806,ENSMUSG00000100806.1,Y,processed_pseudogene
ENSMUSG00000101521,ENSMUSG00000101521.1,Y,lincRNA
ENSMUSG00000094081,ENSMUSG00000094081.2,Y,protein_coding
ENSMUSG00000101181,ENSMUSG00000101181.2,Y,unprocessed_pseudogene
ENSMUSG00000100645,ENSMUSG00000100645.1,Y,protein_coding
ENSMUSG00000100124,ENSMUSG00000100124.1,Y,lincRNA
ENSMUSG00000101956,ENSMUSG00000101956.1,Y,unprocessed_pseudogene
ENSMUSG00000101351,ENSMUSG00000101351.1,Y,processed_pseudogene
ENSMUSG00000100412,ENSMUSG00000100412.1,Y,unprocessed_pseudogene
ENSMUSG00000102026,ENSMUSG00000102026.1,Y,lincRNA
ENSMUSG00000099800,ENSMUSG00000099800.1,Y,lincRNA
ENSMUSG00000099861,ENSMUSG00000099861.1,Y,protein_coding
ENSMUSG00000095324,ENSMUSG00000095324.2,Y,protein_coding
ENSMUSG00000101616,ENSMUSG00000101616.1,Y,unprocessed_pseudogene
ENSMUSG00000100312,ENSMUSG00000100312.1,Y,transcribed_unprocessed_pseudogene
ENSMUSG00000100258,ENSMUSG00000100258.1,Y,unprocessed_pseudogene
ENSMUSG00000101229,ENSMUSG00000101229.1,Y,lincRNA
ENSMUSG00000101456,ENSMUSG00000101456.1,Y,lincRNA
ENSMUSG00000100421,ENSMUSG00000100421.1,Y,lincRNA
ENSMUSG00000103618,ENSMUSG00000103618.1,Y,TEC
ENSMUSG00000101928,ENSMUSG00000101928.1,Y,protein_coding
ENSMUSG00000100239,ENSMUSG00000100239.1,Y,unprocessed_pseudogene
ENSMUSG00000100460,ENSMUSG00000100460.1,Y,processed_pseudogene
ENSMUSG00000101331,ENSMUSG00000101331.1,Y,unprocessed_pseudogene
ENSMUSG00000101366,ENSMUSG00000101366.1,Y,lincRNA
ENSMUSG00000101142,ENSMUSG00000101142.1,Y,unprocessed_pseudogene
ENSMUSG00000100047,ENSMUSG00000100047.1,Y,unprocessed_pseudogene
ENSMUSG00000101858,ENSMUSG00000101858.1,Y,unprocessed_pseudogene
ENSMUSG00000100933,ENSMUSG00000100933.1,Y,unprocessed_pseudogene
ENSMUSG00000100804,ENSMUSG00000100804.1,Y,unprocessed_pseudogene
ENSMUSG00000101672,ENSMUSG00000101672.1,Y,processed_pseudogene
ENSMUSG00000099929,ENSMUSG00000099929.1,Y,unprocessed_pseudogene
ENSMUSG00000099939,ENSMUSG00000099939.1,Y,unprocessed_pseudogene
ENSMUSG00000100491,ENSMUSG00000100491.1,Y,lincRNA
ENSMUSG00000099566,ENSMUSG00000099566.1,Y,unprocessed_pseudogene
ENSMUSG00000101053,ENSMUSG00000101053.1,Y,protein_coding
ENSMUSG00000101732,ENSMUSG00000101732.1,Y,unprocessed_pseudogene
ENSMUSG00000101056,ENSMUSG00000101056.1,Y,unprocessed_pseudogene
ENSMUSG00000099904,ENSMUSG00000099904.1,Y,unprocessed_pseudogene
ENSMUSG00000099523,ENSMUSG00000099523.1,Y,unprocessed_pseudogene
ENSMUSG00000100542,ENSMUSG00000100542.1,Y,processed_pseudogene
ENSMUSG00000099956,ENSMUSG00000099956.1,Y,unprocessed_pseudogene
ENSMUSG00000100080,ENSMUSG00000100080.1,Y,lincRNA
ENSMUSG00000101441,ENSMUSG00000101441.1,Y,lincRNA
ENSMUSG00000091077,ENSMUSG00000091077.3,Y,protein_coding
ENSMUSG00000094679,ENSMUSG00000094679.2,Y,protein_coding
ENSMUSG00000100109,ENSMUSG00000100109.1,Y,unprocessed_pseudogene
ENSMUSG00000100848,ENSMUSG00000100848.1,Y,processed_pseudogene
ENSMUSG00000100105,ENSMUSG00000100105.1,Y,unprocessed_pseudogene
ENSMUSG00000101095,ENSMUSG00000101095.1,Y,lincRNA
ENSMUSG00000094773,ENSMUSG00000094773.2,Y,protein_coding
ENSMUSG00000099688,ENSMUSG00000099688.1,Y,unprocessed_pseudogene
ENSMUSG00000101094,ENSMUSG00000101094.1,Y,unprocessed_pseudogene
ENSMUSG00000101647,ENSMUSG00000101647.1,Y,processed_pseudogene
ENSMUSG00000096223,ENSMUSG00000096223.2,Y,protein_coding
ENSMUSG00000101737,ENSMUSG00000101737.1,Y,unprocessed_pseudogene
ENSMUSG00000100752,ENSMUSG00000100752.1,Y,unprocessed_pseudogene
ENSMUSG00000100463,ENSMUSG00000100463.1,Y,unprocessed_pseudogene
ENSMUSG00000101977,ENSMUSG00000101977.1,Y,unprocessed_pseudogene
ENSMUSG00000100661,ENSMUSG00000100661.1,Y,unprocessed_pseudogene
ENSMUSG00000100571,ENSMUSG00000100571.1,Y,processed_pseudogene
ENSMUSG00000100087,ENSMUSG00000100087.1,Y,unprocessed_pseudogene
ENSMUSG00000094556,ENSMUSG00000094556.2,Y,protein_coding
ENSMUSG00000100049,ENSMUSG00000100049.1,Y,unprocessed_pseudogene
ENSMUSG00000100477,ENSMUSG00000100477.1,Y,unprocessed_pseudogene
ENSMUSG00000100800,ENSMUSG00000100800.1,Y,unprocessed_pseudogene
ENSMUSG00000099439,ENSMUSG00000099439.1,Y,unprocessed_pseudogene
ENSMUSG00000095032,ENSMUSG00000095032.2,Y,protein_coding
ENSMUSG00000099372,ENSMUSG00000099372.1,Y,lincRNA
ENSMUSG00000101699,ENSMUSG00000101699.1,Y,unprocessed_pseudogene
ENSMUSG00000095242,ENSMUSG00000095242.2,Y,protein_coding
ENSMUSG00000101396,ENSMUSG00000101396.1,Y,protein_coding
ENSMUSG00000100995,ENSMUSG00000100995.1,Y,unprocessed_pseudogene
ENSMUSG00000100273,ENSMUSG00000100273.1,Y,processed_pseudogene
ENSMUSG00000095950,ENSMUSG00000095950.2,Y,protein_coding
ENSMUSG00000118472,ENSMUSG00000118472.1,Y,unprocessed_pseudogene
ENSMUSG00000118422,ENSMUSG00000118422.1,Y,unprocessed_pseudogene
ENSMUSG00000100369,ENSMUSG00000100369.1,Y,lincRNA
ENSMUSG00000075359,ENSMUSG00000075359.2,Y,unprocessed_pseudogene
ENSMUSG00000099668,ENSMUSG00000099668.1,Y,lincRNA
ENSMUSG00000100731,ENSMUSG00000100731.1,Y,unprocessed_pseudogene
ENSMUSG00000100074,ENSMUSG00000100074.1,Y,unprocessed_pseudogene
ENSMUSG00000099676,ENSMUSG00000099676.1,Y,processed_pseudogene
ENSMUSG00000094813,ENSMUSG00000094813.2,Y,protein_coding
ENSMUSG00000099482,ENSMUSG00000099482.1,Y,lincRNA
ENSMUSG00000099776,ENSMUSG00000099776.1,Y,lincRNA
ENSMUSG00000100742,ENSMUSG00000100742.1,Y,unprocessed_pseudogene
ENSMUSG00000100730,ENSMUSG00000100730.1,Y,unprocessed_pseudogene
ENSMUSG00000100567,ENSMUSG00000100567.1,Y,unprocessed_pseudogene
ENSMUSG00000094838,ENSMUSG00000094838.2,Y,protein_coding
ENSMUSG00000101319,ENSMUSG00000101319.1,Y,processed_pseudogene
ENSMUSG00000101789,ENSMUSG00000101789.1,Y,unprocessed_pseudogene
ENSMUSG00000100015,ENSMUSG00000100015.1,Y,unprocessed_pseudogene
ENSMUSG00000099572,ENSMUSG00000099572.1,Y,unprocessed_pseudogene
ENSMUSG00000101690,ENSMUSG00000101690.1,Y,unprocessed_pseudogene
ENSMUSG00000101842,ENSMUSG00000101842.1,Y,processed_pseudogene
ENSMUSG00000101871,ENSMUSG00000101871.1,Y,unprocessed_pseudogene
ENSMUSG00000100919,ENSMUSG00000100919.1,Y,unprocessed_pseudogene
ENSMUSG00000101123,ENSMUSG00000101123.1,Y,processed_pseudogene
ENSMUSG00000101276,ENSMUSG00000101276.1,Y,unprocessed_pseudogene
ENSMUSG00000100368,ENSMUSG00000100368.1,Y,lincRNA
ENSMUSG00000100231,ENSMUSG00000100231.1,Y,protein_coding
ENSMUSG00000101469,ENSMUSG00000101469.1,Y,unprocessed_pseudogene
ENSMUSG00000095508,ENSMUSG00000095508.2,Y,protein_coding
ENSMUSG00000103330,ENSMUSG00000103330.1,Y,unprocessed_pseudogene
ENSMUSG00000104505,ENSMUSG00000104505.5,Y,lincRNA
ENSMUSG00000104468,ENSMUSG00000104468.1,Y,unprocessed_pseudogene
ENSMUSG00000094135,ENSMUSG00000094135.1,Y,TEC
ENSMUSG00000103361,ENSMUSG00000103361.1,Y,unprocessed_pseudogene
ENSMUSG00000104267,ENSMUSG00000104267.1,Y,protein_coding
ENSMUSG00000103352,ENSMUSG00000103352.1,Y,lincRNA
ENSMUSG00000102335,ENSMUSG00000102335.5,Y,lincRNA
ENSMUSG00000095769,ENSMUSG00000095769.1,Y,protein_coding
ENSMUSG00000096820,ENSMUSG00000096820.2,Y,protein_coding
ENSMUSG00000103474,ENSMUSG00000103474.1,Y,lincRNA
ENSMUSG00000095759,ENSMUSG00000095759.1,Y,protein_coding
ENSMUSG00000103468,ENSMUSG00000103468.1,Y,protein_coding
ENSMUSG00000093903,ENSMUSG00000093903.6,Y,protein_coding
ENSMUSG00000103176,ENSMUSG00000103176.1,Y,lincRNA
ENSMUSG00000104522,ENSMUSG00000104522.5,Y,lincRNA
ENSMUSG00000095462,ENSMUSG00000095462.1,Y,protein_coding
ENSMUSG00000102177,ENSMUSG00000102177.5,Y,lincRNA
ENSMUSG00000102346,ENSMUSG00000102346.5,Y,lincRNA
ENSMUSG00000093883,ENSMUSG00000093883.1,Y,protein_coding
ENSMUSG00000095900,ENSMUSG00000095900.2,Y,protein_coding
ENSMUSG00000102174,ENSMUSG00000102174.1,Y,unprocessed_pseudogene
ENSMUSG00000102583,ENSMUSG00000102583.1,Y,unprocessed_pseudogene
ENSMUSG00000104048,ENSMUSG00000104048.1,Y,lincRNA
ENSMUSG00000104404,ENSMUSG00000104404.1,Y,unprocessed_pseudogene
ENSMUSG00000102799,ENSMUSG00000102799.1,Y,unprocessed_pseudogene
ENSMUSG00000102613,ENSMUSG00000102613.1,Y,unprocessed_pseudogene
ENSMUSG00000103524,ENSMUSG00000103524.1,Y,lincRNA
ENSMUSG00000094227,ENSMUSG00000094227.1,Y,protein_coding
ENSMUSG00000103681,ENSMUSG00000103681.5,Y,lincRNA
ENSMUSG00000104409,ENSMUSG00000104409.5,Y,lincRNA
ENSMUSG00000104127,ENSMUSG00000104127.1,Y,unprocessed_pseudogene
ENSMUSG00000103872,ENSMUSG00000103872.5,Y,lincRNA
ENSMUSG00000102787,ENSMUSG00000102787.5,Y,lincRNA
ENSMUSG00000104499,ENSMUSG00000104499.5,Y,lincRNA
ENSMUSG00000103431,ENSMUSG00000103431.5,Y,lincRNA
ENSMUSG00000104191,ENSMUSG00000104191.1,Y,protein_coding
ENSMUSG00000102492,ENSMUSG00000102492.1,Y,TEC
ENSMUSG00000104260,ENSMUSG00000104260.1,Y,unprocessed_pseudogene
ENSMUSG00000102251,ENSMUSG00000102251.5,Y,lincRNA
ENSMUSG00000102366,ENSMUSG00000102366.1,Y,unprocessed_pseudogene
ENSMUSG00000103909,ENSMUSG00000103909.1,Y,unprocessed_pseudogene
ENSMUSG00000102835,ENSMUSG00000102835.5,Y,lincRNA
ENSMUSG00000103943,ENSMUSG00000103943.5,Y,lincRNA
ENSMUSG00000102624,ENSMUSG00000102624.1,Y,lincRNA
ENSMUSG00000102138,ENSMUSG00000102138.1,Y,lincRNA
ENSMUSG00000102582,ENSMUSG00000102582.1,Y,lincRNA
ENSMUSG00000103666,ENSMUSG00000103666.1,Y,unprocessed_pseudogene
ENSMUSG00000104207,ENSMUSG00000104207.1,Y,unprocessed_pseudogene
ENSMUSG00000102392,ENSMUSG00000102392.5,Y,lincRNA
ENSMUSG00000095172,ENSMUSG00000095172.2,Y,protein_coding
ENSMUSG00000102754,ENSMUSG00000102754.1,Y,unprocessed_pseudogene
ENSMUSG00000103167,ENSMUSG00000103167.1,Y,unprocessed_pseudogene
ENSMUSG00000102387,ENSMUSG00000102387.1,Y,unprocessed_pseudogene
ENSMUSG00000102208,ENSMUSG00000102208.1,Y,unprocessed_pseudogene
ENSMUSG00000102265,ENSMUSG00000102265.1,Y,unprocessed_pseudogene
ENSMUSG00000104490,ENSMUSG00000104490.1,Y,unprocessed_pseudogene
ENSMUSG00000103112,ENSMUSG00000103112.1,Y,unprocessed_pseudogene
ENSMUSG00000103234,ENSMUSG00000103234.1,Y,TEC
ENSMUSG00000102288,ENSMUSG00000102288.1,Y,unprocessed_pseudogene
ENSMUSG00000103417,ENSMUSG00000103417.1,Y,unprocessed_pseudogene
ENSMUSG00000094829,ENSMUSG00000094829.2,Y,lincRNA
ENSMUSG00000104510,ENSMUSG00000104510.1,Y,unprocessed_pseudogene
ENSMUSG00000095520,ENSMUSG00000095520.2,Y,protein_coding
ENSMUSG00000103602,ENSMUSG00000103602.1,Y,unprocessed_pseudogene
ENSMUSG00000102586,ENSMUSG00000102586.5,Y,lincRNA
ENSMUSG00000102170,ENSMUSG00000102170.1,Y,unprocessed_pseudogene
ENSMUSG00000095365,ENSMUSG00000095365.3,Y,protein_coding
ENSMUSG00000102421,ENSMUSG00000102421.1,Y,unprocessed_pseudogene
ENSMUSG00000104032,ENSMUSG00000104032.1,Y,unprocessed_pseudogene
ENSMUSG00000102400,ENSMUSG00000102400.1,Y,lincRNA
ENSMUSG00000102520,ENSMUSG00000102520.5,Y,lincRNA
ENSMUSG00000094161,ENSMUSG00000094161.1,Y,protein_coding
ENSMUSG00000102726,ENSMUSG00000102726.1,Y,lincRNA
ENSMUSG00000102739,ENSMUSG00000102739.1,Y,protein_coding
ENSMUSG00000094325,ENSMUSG00000094325.7,Y,protein_coding
ENSMUSG00000103757,ENSMUSG00000103757.1,Y,lincRNA
ENSMUSG00000096819,ENSMUSG00000096819.1,Y,protein_coding
ENSMUSG00000103994,ENSMUSG00000103994.1,Y,lincRNA
ENSMUSG00000095879,ENSMUSG00000095879.1,Y,protein_coding
ENSMUSG00000095267,ENSMUSG00000095267.2,Y,protein_coding
ENSMUSG00000103917,ENSMUSG00000103917.1,Y,lincRNA
ENSMUSG00000104439,ENSMUSG00000104439.1,Y,unprocessed_pseudogene
ENSMUSG00000104446,ENSMUSG00000104446.1,Y,unprocessed_pseudogene
ENSMUSG00000103514,ENSMUSG00000103514.1,Y,unprocessed_pseudogene
ENSMUSG00000102150,ENSMUSG00000102150.1,Y,lincRNA
ENSMUSG00000103782,ENSMUSG00000103782.1,Y,lincRNA
ENSMUSG00000104050,ENSMUSG00000104050.1,Y,lincRNA
ENSMUSG00000102264,ENSMUSG00000102264.1,Y,unprocessed_pseudogene
ENSMUSG00000103871,ENSMUSG00000103871.1,Y,lincRNA
ENSMUSG00000104356,ENSMUSG00000104356.1,Y,unprocessed_pseudogene
ENSMUSG00000103802,ENSMUSG00000103802.1,Y,unprocessed_pseudogene
ENSMUSG00000104472,ENSMUSG00000104472.1,Y,lincRNA
ENSMUSG00000095927,ENSMUSG00000095927.1,Y,protein_coding
ENSMUSG00000103347,ENSMUSG00000103347.1,Y,lincRNA
ENSMUSG00000104407,ENSMUSG00000104407.5,Y,lincRNA
ENSMUSG00000102290,ENSMUSG00000102290.1,Y,unprocessed_pseudogene
ENSMUSG00000103612,ENSMUSG00000103612.1,Y,lincRNA
ENSMUSG00000102580,ENSMUSG00000102580.1,Y,processed_pseudogene
ENSMUSG00000102273,ENSMUSG00000102273.5,Y,lincRNA
ENSMUSG00000102294,ENSMUSG00000102294.1,Y,lincRNA
ENSMUSG00000103190,ENSMUSG00000103190.5,Y,lincRNA
ENSMUSG00000102867,ENSMUSG00000102867.1,Y,lincRNA
ENSMUSG00000102968,ENSMUSG00000102968.5,Y,lincRNA
ENSMUSG00000103371,ENSMUSG00000103371.1,Y,protein_coding
ENSMUSG00000103489,ENSMUSG00000103489.1,Y,lincRNA
ENSMUSG00000103796,ENSMUSG00000103796.1,Y,TEC
ENSMUSG00000102552,ENSMUSG00000102552.1,Y,unprocessed_pseudogene
ENSMUSG00000104426,ENSMUSG00000104426.1,Y,unprocessed_pseudogene
ENSMUSG00000102304,ENSMUSG00000102304.1,Y,unprocessed_pseudogene
ENSMUSG00000102195,ENSMUSG00000102195.5,Y,lincRNA
